"Series";"Time";"Value"
"Z";"2020-09-26T17:14:04-04:00";18063
"Z";"2020-09-26T17:14:04-04:00";16470
"Z";"2020-09-26T17:14:04-04:00";15824
"Z";"2020-09-26T17:14:04-04:00";16163
"Z";"2020-09-26T17:14:04-04:00";16620
"Z";"2020-09-26T17:14:04-04:00";16553
"Z";"2020-09-26T17:14:04-04:00";16386
"Z";"2020-09-26T17:14:04-04:00";17229
"Z";"2020-09-26T17:14:04-04:00";17459
"Z";"2020-09-26T17:14:04-04:00";16933
"Z";"2020-09-26T17:14:04-04:00";16529
"Z";"2020-09-26T17:14:04-04:00";17028
"Z";"2020-09-26T17:14:04-04:00";17261
"Z";"2020-09-26T17:14:04-04:00";15238
"Z";"2020-09-26T17:14:04-04:00";14046
"Z";"2020-09-26T17:14:04-04:00";16905
"Z";"2020-09-26T17:14:04-04:00";20310
"Z";"2020-09-26T17:14:04-04:00";19780
"Z";"2020-09-26T17:14:04-04:00";16597
"Z";"2020-09-26T17:14:04-04:00";14725
"Z";"2020-09-26T17:14:05-04:00";14140
"Z";"2020-09-26T17:14:05-04:00";14117
"Z";"2020-09-26T17:14:05-04:00";16809
"Z";"2020-09-26T17:14:05-04:00";20234
"Z";"2020-09-26T17:14:05-04:00";21033
"Z";"2020-09-26T17:14:05-04:00";17987
"Z";"2020-09-26T17:14:05-04:00";14324
"Z";"2020-09-26T17:14:05-04:00";13141
"Z";"2020-09-26T17:14:05-04:00";14275
"Z";"2020-09-26T17:14:05-04:00";18487
"Z";"2020-09-26T17:14:05-04:00";20221
"Z";"2020-09-26T17:14:05-04:00";18105
"Z";"2020-09-26T17:14:05-04:00";17405
"Z";"2020-09-26T17:14:05-04:00";16782
"Z";"2020-09-26T17:14:05-04:00";14133
"Z";"2020-09-26T17:14:05-04:00";14671
"Z";"2020-09-26T17:14:05-04:00";18751
"Z";"2020-09-26T17:14:05-04:00";20422
"Z";"2020-09-26T17:14:05-04:00";18846
"Z";"2020-09-26T17:14:05-04:00";16541
"Z";"2020-09-26T17:14:05-04:00";15959
"Z";"2020-09-26T17:14:05-04:00";14988
"Z";"2020-09-26T17:14:05-04:00";14410
"Z";"2020-09-26T17:14:05-04:00";16820
"Z";"2020-09-26T17:14:05-04:00";18357
"Z";"2020-09-26T17:14:05-04:00";17732
"Z";"2020-09-26T17:14:05-04:00";17341
"Z";"2020-09-26T17:14:05-04:00";16192
"Z";"2020-09-26T17:14:05-04:00";14620
"Z";"2020-09-26T17:14:05-04:00";15020
"Z";"2020-09-26T17:14:05-04:00";17162
"Z";"2020-09-26T17:14:05-04:00";18622
"Z";"2020-09-26T17:14:05-04:00";18119
"Z";"2020-09-26T17:14:05-04:00";17789
"Z";"2020-09-26T17:14:05-04:00";15974
"Z";"2020-09-26T17:14:05-04:00";13517
"Z";"2020-09-26T17:14:05-04:00";14726
"Z";"2020-09-26T17:14:05-04:00";17099
"Z";"2020-09-26T17:14:05-04:00";18455
"Z";"2020-09-26T17:14:05-04:00";18463
"Z";"2020-09-26T17:14:05-04:00";17540
"Z";"2020-09-26T17:14:05-04:00";16881
"Z";"2020-09-26T17:14:05-04:00";15156
"Z";"2020-09-26T17:14:05-04:00";14295
"Z";"2020-09-26T17:14:05-04:00";16405
"Z";"2020-09-26T17:14:05-04:00";17617
"Z";"2020-09-26T17:14:05-04:00";18177
"Z";"2020-09-26T17:14:05-04:00";18594
"Z";"2020-09-26T17:14:05-04:00";15650
"Z";"2020-09-26T17:14:05-04:00";13824
"Z";"2020-09-26T17:14:05-04:00";16470
"Z";"2020-09-26T17:14:05-04:00";17442
"Z";"2020-09-26T17:14:05-04:00";16213
"Z";"2020-09-26T17:14:05-04:00";18287
"Z";"2020-09-26T17:14:05-04:00";19903
"Z";"2020-09-26T17:14:05-04:00";16140
"Z";"2020-09-26T17:14:05-04:00";13041
